,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,500 FR,200 IM,50 FR,1000 FR,400 IM,100 FL,200 FR,100 BR,100 BK,1650 FR,200 BK,100 FR,200 BR,200 FL,1M,3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O'Connor, Rory",Brown,4:17.27,,,9:07.37,,,1:37.92,,,15:03.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williamson, Matthew",Brown,4:18.75,,,8:56.13,,,,,,15:01.95,,,,1:48.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duetoft, Christian",Brown,4:19.84,,,9:03.95,,,1:37.32,,,15:20.10,1:51.45,,,1:49.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kershaw, James",Brown,4:23.87,1:49.94,,,3:52.25,49.70,,,,,,46.85,,1:47.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nadecki, Erik",Brown,4:24.67,1:47.01,21.22,,3:51.85,,1:37.93,54.42,49.77,15:47.43,,45.49,1:57.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hardart, Max",Brown,4:25.65,1:50.49,,9:04.68,3:49.32,,,,,15:06.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cicco, Will",Brown,4:26.50,,21.07,,,,1:37.36,,,15:32.01,,45.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lowrey, Jake",Brown,4:28.44,,,9:17.29,3:56.36,,,,,15:29.34,1:47.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chang, Chris",Brown,4:29.33,,,9:18.09,3:59.10,,1:41.98,,,15:38.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Aaron",Brown,4:30.84,,21.08,,,,1:39.34,,,,,45.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mastandrea, Trey",Brown,4:30.88,1:51.60,,,,48.92,1:37.59,,49.16,,1:46.69,45.26,,1:48.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purcell, Matthew",Brown,4:31.63,1:49.50,,9:19.21,3:51.38,,,,50.35,15:37.97,1:48.18,,,1:47.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peterson, Tucker",Brown,,1:51.39,20.30,,,47.81,,,48.42,,,44.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, Christopher",Brown,,1:49.41,20.10,,,48.04,1:35.95,,,,,43.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wickerham, Connor",Brown,,,21.10,,,48.14,1:39.61,,,,,,,1:46.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quested, Finn",Brown,,1:49.27,20.46,,,48.16,1:38.16,,48.25,,1:44.66,45.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regenwetter, Jake",Brown,,1:46.32,,,3:52.89,48.86,,54.02,,,,45.17,1:57.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Butera, Jack",Brown,,1:48.74,,,,49.08,1:39.97,55.02,,,,,2:08.53,1:48.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kirby, Lachlan",Brown,,,21.31,,,49.55,1:42.29,,,,,,,1:49.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jeng, Donavan",Brown,,1:49.96,20.18,,,49.57,1:38.40,,,,,44.18,,1:53.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Day, Rudd",Brown,,,20.36,,,50.97,,,,,,45.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nagy, Marton",Brown,,1:42.69,,,3:42.64,,1:33.56,,47.47,,1:42.69,43.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maron, Jack",Brown,,1:49.48,,9:24.20,3:50.62,,1:38.88,,,,1:46.70,46.39,,1:49.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gottfried, James",Brown,,1:50.63,21.20,,3:54.34,,1:39.33,56.35,,,,46.53,2:02.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moore, Max",Brown,,1:48.37,,,3:57.94,,,53.96,,,,,1:58.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gim, Jonathan",Brown,,,19.86,,,,1:39.19,,49.12,,,43.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blamer, Caden",Brown,,,20.71,,,,,55.60,49.35,,,46.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lawver, Roland (D)",Brown,,,,,,,,,,,,,,,337.89,354.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vasiliadis, Matteo (D)",Brown,,,,,,,,,,,,,,,291.67,304.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
