,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Name,Last Name,Team,Class Year,Swimmer or Diver,500 FR,200 IM,50 FR,1000 FR,400 IM,100 FL,200 FR,100 BR,100 BK,1650 FR,200 BK,100 FR,200 BR,200 FL,1M,3M,,,,,,,,,,,,,,,,,,,
 Anuthra,Abeysinghe,Princeton,2029,Swimmer,,,,,,,,58.28,,,,,2:06.57,,,,,,,,,,,,,,,,,,,,,,
 Arthur,Balva,Princeton,2027,Swimmer,4:16.99,1:47.58,,9:10.03,3:45.54,47.67,1:34.77,,,,,,,1:41.99,,,,,,,,,,,,,,,,,,,,,
 Connor,Buck,Princeton,2027,Swimmer,4:23.93,,,9:00.25,3:54.60,,,,,15:13.26,,,,,,,,,,,,,,,,,,,,,,,,,
 Taso,Callanan,Princeton,2026,Diver,,,,,,,,,,,,,,,280.23,327.00,,,,,,,,,,,,,,,,,,,
 Devyn,Caples,Princeton,2028,Swimmer,4:26.63,1:47.76,,9:07.10,3:47.91,,,,,15:23.50,1:59.36,,1:59.36,1:48.15,,,,,,,,,,,,,,,,,,,,,
 Conan,Chen,Princeton,2028,Swimmer,,1:56.36,,,,,,56.22,,,,,2:05.16,,,,,,,,,,,,,,,,,,,,,,
 Tomaz,Chevres,Princeton,2028,Swimmer,4:35.18,,,9:29.15,,,1:41.23,,,16:00.99,,,,,,,,,,,,,,,,,,,,,,,,,
 Patrick,Dinu,Princeton,2028,Swimmer,,,19.39,,,,1:33.55,53.49,,,,41.49,,,,,,,,,,,,,,,,,,,,,,,
 Luca,Fassi,Princeton,2027,Diver,,,,,,,,,,,,,,,293.88,348.19,,,,,,,,,,,,,,,,,,,
 Santiago,Gutierrez,Princeton,2028,Swimmer,4:17.29,,,8:54.13,,,,,,14:45.61,,,,,,,,,,,,,,,,,,,,,,,,,
 Jack,Haley,Princeton,2029,Swimmer,4:19.48,1:48.65,,,3:50.31,,1:36.72,,,,1:46.58,45.31,,1:45.89,,,,,,,,,,,,,,,,,,,,,
 Cole,Kawaja,Princeton,2029,Swimmer,4:22.42,,,9:02.52,,,1:39.10,,,15:16.90,,,,,,,,,,,,,,,,,,,,,,,,,
 Daniel,Kim,Princeton,2026,Swimmer,4:34.52,,,9:27.07,,,,,,15:59.96,,,,,,,,,,,,,,,,,,,,,,,,,
 Keian,Lam,Princeton,2029,Swimmer,,1:47.02,,,3:50.22,,,53.70,,,,,1:57.36,,,,,,,,,,,,,,,,,,,,,,
 Parker,Lenoce,Princeton,2027,Swimmer,4:20.73,,,,,,1:34.74,,46.84,,1:41.35,44.44,,,,,,,,,,,,,,,,,,,,,,,
 Daniel,Li,Princeton,2027,Swimmer,4:23.83,1:47.17,19.93,,3:55.81,,1:35.90,,48.18,15:32.93,,44.00,1:59.90,,,,,,,,,,,,,,,,,,,,,,
 Rasmus,Makela,Princeton,2026,Swimmer,4:31.34,,,,,,1:39.31,57.26,,,,46.65,2:00.99,,,,,,,,,,,,,,,,,,,,,,
 Max,Marcus,Princeton,2028,Swimmer,4:23.23,,,9:03.31,,,1:37.35,,,15:13.72,1:50.02,,,,,,,,,,,,,,,,,,,,,,,,
 Luka,Martinovic,Princeton,2029,Diver,,,,,,,,,,,,,,,318.60,333.00,,,,,,,,,,,,,,,,,,,
 Conor,McKenna,Princeton,2026,Swimmer,,,19.92,,,46.22,1:37.92,,,,,44.25,,1:42.95,,,,,,,,,,,,,,,,,,,,,
 Logan,Noguchi,Princeton,2028,Swimmer,,1:46.79,19.53,,,46.12,,,47.39,,,43.40,,1:44.31,,,,,,,,,,,,,,,,,,,,,
 Curan,Palmer,Princeton,2028,Swimmer,,,,,4:07.80,,,55.35,,,,,2:00.68,,,,,,,,,,,,,,,,,,,,,,
 James,Pan,Princeton,2026,Swimmer,,1:47.90,,,,,,54.16,,,,,1:59.47,,,,,,,,,,,,,,,,,,,,,,
 Ben,Romig,Princeton,2028,Diver,,,,,,,,,,,,,,,279.10,284.50,,,,,,,,,,,,,,,,,,,
 Oliver,Rowe,Princeton,2029,Swimmer,4:23.10,,,,,,1:36.99,,,,,44.71,,1:46.94,,,,,,,,,,,,,,,,,,,,,
 John,Rusnock,Princeton,2029,Swimmer,,1:45.94,,,3:49.23,47.42,,54.30,49.16,,,44.94,1:56.78,1:44.65,,,,,,,,,,,,,,,,,,,,,
 Mitchell,Schott,Princeton,2026,Swimmer,4:15.55,1:41.44,,8:47.46,3:40.69,,1:31.63,,,,1:41.78,42.44,,1:40.42,,,,,,,,,,,,,,,,,,,,,
 Chase,Sorosky,Princeton,2029,Diver,,,,,,,,,,,,,,,287.00,328.20,,,,,,,,,,,,,,,,,,,
 Lucas,Strobek,Princeton,2026,Swimmer,,1:45.57,,,3:46.08,,,,,,1:47.80,,1:58.60,,,,,,,,,,,,,,,,,,,,,,
 Jake,Tarara,Princeton,2029,Swimmer,,,19.90,,,,1:36.70,,,,,43.22,,,,,,,,,,,,,,,,,,,,,,,
 Alex,Townsend,Princeton,2029,Swimmer,,1:45.44,19.85,,,46.70,1:37.15,53.81,47.70,,,44.21,1:58.04,1:45.37,,,,,,,,,,,,,,,,,,,,,
 Lucas,Tudoras,Princeton,2026,Swimmer,,,19.65,,,47.53,1:35.74,,,,,42.98,,,,,,,,,,,,,,,,,,,,,,,
 Aidan,Wang,Princeton,2027,Diver,,,,,,,,,,,,,,,341.18,361.57,,,,,,,,,,,,,,,,,,,
 Jiarui,Xue,Princeton,2029,Swimmer,4:20.40,,,9:02.61,3:49.02,,1:37.40,,,15:06.71,,,,1:47.64,,,,,,,,,,,,,,,,,,,,,
 Yanning,Zhang,Princeton,2027,Swimmer,,,19.79,,,48.52,,,46.72,,1:46.96,43.69,,,,,,,,,,,,,,,,,,,,,,,
 Andrew,Zou,Princeton,2028,Swimmer,,1:47.78,20.56,,3:54.99,,,52.89,,,,,1:54.63,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
